first_name,last_name,company,title,domain,email,phone,industry,country,linkedin_url
Ahmed,Alsayyad,Abu Nayyan Group,Presales & Solutions Manager,abunayyangroup.com,ahmed-elsayad@abunayyangroup.com,966569539814,,Dammam,
Dennis,Ulanday,IICS,"Sr. Engineer, Pre-Sales & Solutions",iics-sa.com,dennis.ulanday@iics-sa.com,966502050075,,Dammam,
Omar,Jason T. Villa,IICS,Senior Estimation Engineer,iics-sa.com,omar.jason@iics-sa.com,966559861385,,Dammam,
Mohammed,Alholaimi,IICS,project Manager,iics-sa.com,mohammed.alholaimi@iics-sa.com,966505916068,,Dammam,
Osama,Abu Aisheh,IICS,Sr.Tendering Engineer,iics-sa.com,osama.abuaisheh@iics-sa.com,966595972911,,Dammam,
Maitham,Al-Dihnayn,IICS,Instrument & control engineer,iics-sa.com,maitham.aldihnayn@iics-sa.com,966560931088,,Dammam,
Mohammad,Al Bazzaz,IICS,project Manager,iics-sa.com,mohammad.albazzaz@iics-sa.com,966542717112,,Dammam,
Sanjiv,Prasad,Arabian Lojam Group,Technical Service Manager,arabianlojam.com,p.sanjiv@arabianlojam.com,966503526665,,Dammam,
Jose,Philip,Risal,Unit Head,risal.com,jose.philip@risal.com,966500135221,,Dammam,
Manikandan,Ganesan,Prudant,,prudentsolutions.net,manikandang@prudentsolutions.net,,,Dammam,
Sarmad,Alquraishi,Avanceon,Gulf Area GM,avanceon.ae,squreshi@avanceon.ae,971505580133,,Riyadh,
Shehrayer,Abdullah,Avanceon,regional sales Manager,avanceon.ae,sabdullah@avanceon.ae,966533224138,,Riyadh,
Amr,Eleanwar,Avanceon,regional sales Manager,avanceon.ae,aelanwar@avanceon.ae,966561612543,,Riyadh,
Amr,Mohamed Yakoup,Veolia Water Solutions,Electrical & Instrumentation Dept Manager,veolia.com,amr.yakob@veolia.com,966545536766,,Riyadh,
Asim,Alshawabkeh,Veolia Water Solutions,Senior electrical & Control Engineer,veolia.com,asim.alshawabkeh@veolia.com,966540556006,,Riyadh,
Ahmed,Ganainy,Veolia Water Solutions,Senior electrical & Control Engineer,veolia.com,ahmed.ganainy@veolia.com,966581133056,,Riyadh,
ABDULLAH,MOHAMMED HABRA,SES,+966 540716717,gmail.com,abdulla.habra@gmail.com,966540716717,,Riyadh,
MOHAMMAD,ALGHUBARI,Horizon,+966 548646464,horizons.us.com,mghubari@horizons.us.com,966548646464,,Riyadh,
Mohammed,Al-Ansari,Shouaa,+966 554126060,shouaa.com.sa,sm@shouaa.com.sa,966554126060,,Riyadh,
Yasser,Al-Nas,Middle East Battery Company,Procurement manager,clarios.com,yaser.alnas@clarios.com,966555374214,,Riyadh,
Saeed,Ali Jarfan,Middle East Battery Company,Procurement Engineer,clarios.com,saeed.2.jarfan@clarios.com,966138121221 Ext 1523,,Riyadh,
Abdallah,Rasheed,NAZCO,project Manager,gmail.com,abdallah.rashed.lotfi@gmail.com,966540830323,,Dammam,
Mohamed,Fayed,NAZCO,project Manager,gmail.com,m.a.fayed2020@gmail.com,,,Dammam,
Santosh,,Misc Global,Sales Manager,miscglobal.com,santosh@miscglobal.com,966555742018,,Dammam,
Islam,Fathy,East & West Factory,Project  Manager – EWF,atco.com.sa,islam.fathy@atco.com.sa,966502720309,,Dammam,
Sadiq,Basha,REDA Fire & Gas,Procurement Manager,redafire.com,sadiq.basha@redafire.com,966536778748,,Dammam,
